docdb_family_id,stratum,score,neuro,ml,verdict,title,abstract
15559952,0,0.0001,0,0,NOT_NOML,SOLAR HEAT COLLECTING SYSTEM,"PURPOSE:To make it possible to obtain hot air for heating even when insolation is low to allow operation with quick rise-up, by making arrangement such that the heating medium passages may be switched by the change-over valves provided on the upstream and downstream sides of the solar heat collector and by using one of the heating medium passages as the room-heating hot air passage. CONSTITUTION:Three-way valves 2 are connected to the upstream and downstream sides of the solar heat collector 1, said three-way valves 2 being connected to an air pump 3, hot air passage of an air tank 4, water pump 5 and hot water passage of a hot water reservoir 6. Hot air from the air tank 4 is circulated in the room 15 through valves 17 and a fan 14. When insolation is low in winter, the air pump 3 and fan 14 are operated to heat air to supply hot air into the room 15. When insolation is high, the three-way valves 2 are switched to operate the water pump 5 to effect water heating and the air in the air tank 4 is heated by high- temperature water in the hot water reservoir 6 to obtain hot air. In the summer season, water heating is performed and heated water is sent as heat source from the hot water reservoir 6 to an absorption type refregerator 22 by a pump 24."
6383932,0,9.9e-05,0,0,NOT_NOML,"Prodn. of mist at floor lever - involves evaporator, outlet, gas source, pressure pipe and pressurised gas bottle","The floor-mist-prodn. machine for discotheques, theatres, etc. incorporates a mist-generation chamber (7) in which a fluid is evaporated. The mist-outlet (8) is next to a gas-source (5, 6, 9, 6a, 9a) which mixes a gas with the mist (N) through a pressure-pipe (2) connected to a pressurised gas bottle (1). The specific gravity of the gas is greater at room temp. than that of air. A jet incorporates a pipe (6) with nozzle-holes in and concentric with the mist-outlet (8). USE/ADVANTAGE - The floor mist machine is simple to use and ejects large quantities of mist."
48050713,0,9.8e-05,0,0,NOT_NOML,ALKALI-METAL-CARBONATE-CONTAINING NITRATE SALT COMPOSITIONS AND USE THEREOF AS HEAT TRANSFER MEDIUM OR HEAT STORAGE MEDIUM,"The invention relates to a nitrate salt composition, containing as the essential constituents A) an alkali metal nitrate and optionally an alkali metal nitrite in a total amount in the range of 90 to 99.84% by weight, and B) an alkali metal compound selected from the group comprising B1) alkali metal oxide, B2) alkali metal carbonate, B3) alkali metal compound that decomposes in the temperature range of 250°C to 600°C to form alkali metal oxide or alkali metal carbonate, B4) alkali metal hydroxide MetOH, in which Met denotes lithium, sodium, potassium, rubidium, caesium, B5) alkali metal peroxide Met2O2, in which Met denotes lithium, sodium, potassium, rubidium, caesium, and B6) alkali metal superoxide MetO2, in which Met denotes sodium, potassium, rubidium, caesium in a total amount in the range of 0.16 to 10% by weight, the percentages being relative to the nitrate salt composition."
96084210,0,9.5e-05,0,0,NOT_NOML,Harmful gas treatment equipment for environmental protection engineering,"The utility model relates to the technical field of harmful gas treatment, in particular to harmful gas treatment equipment for environmental protection engineering. The harmful gas treatment equipment for the environmental protection engineering comprises a gas inlet pipe, a filter bin, a U-shaped connecting plate, activated carbon filter plates and the like, the filter bin is connected to the rear side of the gas inlet pipe, a plurality of activated carbon filter plates which are uniformly distributed along a straight line at intervals are inserted into the filter bin, and the U-shaped connecting plate is clamped at the upper ends of the activated carbon filter plates. The dust falling mechanism is arranged, the water pump runs to convey water into the atomizing spray head, the water is atomized into water mist through the atomizing spray head and sprayed into the air inlet pipe, the water mist makes contact with dust in harmful gas, dust falling of the harmful gas is achieved, and therefore most of the dust is removed, the follow-up burden of the activated carbon filter plate is relieved, and the service life of the dust falling device is prolonged. The problems that the utilization rate of a filter screen and an activated carbon plate is reduced, and the cleaning and replacing frequency of the filter screen and the activated carbon plate is increased are effectively solved."
41023998,0,9.3e-05,0,0,NOT_NOML,METHOD FOR PRODUCTION OF INGOTS AND CAST ARTICLES OUT OF INTERMETALLIC ALLOYS,"FIELD: technological processes. ^ SUBSTANCE: invention is related to manufacturing of ingots and cast articles out of intermetallic alloys based on titanium and aluminium. Method includes melting of initial charge in crucible and further crystallisation of melt in mold, made of aluminium nitride or lined with aluminium nitride inside, at that melt crystallisation is carried out in atmosphere of inertial gas, for instance argon with dew point of not more than minus 70 C. ^ EFFECT: improved quality of ingots and articles due to reduction of common oxygen content, and lower production costs. ^ 3 cl, 2 tbl, 3 ex"
68804825,0,9.2e-05,0,0,NOT_NOML,Clean and environment-friendly fuel gas combined cooling heating and power heating system,"The utility model discloses a clean and environment-friendly gas combined cooling, heating and power heating system which comprises a gas-steam combined circulation system, a cooling and heating circulation system, a floor heating water pipe, a water distributor and a water collector. A water inlet and a plurality of water outlets are formed in the tank body of the water distributor; a metal filter screen is arranged on one side of the water outlet close to the tank body; a water outlet cleaning device is arranged in the water distributor; the water outlet cleaning device comprises a rotatingrod and a cleaning rod; the rotating rod is rotationally arranged in the tank body of the water segregator; a cleaning rod is fixedly arranged at the position, corresponding to the water outlet, of the rotating rod. Cleaning parts are arranged at the ends, away from the rotating rods, of the cleaning rods. When the cleaning rod rotates to the position of the water outlet, the cleaning part is in contact with the metal filter screen; according to the technical scheme, the problem that after a water distributor in an existing fuel gas combined cooling heating and power system is used for a period of time, due to the fact that impurities in water easily block water outlets, partial pressure on the water outlets is different, and dispersion efficiency is affected is solved."
27705977,0,8.9e-05,0,0,NOT_NOML,Surface Treating Composition of Metal and Method of Manufacturing the Same,"PURPOSE: A composition for treating the surface of a metal is provided which is corrosion resistant to a galvanized steel sheet, has economic feasibility to a commercialization level, and does not contain chromium for environmental friendliness, and a method for manufacturing the composition is provided. CONSTITUTION: The composition for treating the surface of a metal comprises 95 to 60 wt.% of resin in which aqueous organic resin and inorganic metal sol are coupling bonded in a solid ratio of 80:20 to 30:70; 1 to 10 wt.% of corrosion resistant rust inhibitor; and 0.5 to 10 wt.% of organic metallic complex compound, wherein the aqueous organic resin includes a hydroxy group or a carboxyl group, and is at least one or more resins selected from the group consisting of aqueous acrylic polymer resin, aqueous alkyd resin, water dispersed urethane resin and water dispersed epoxy resin, the inorganic metal sol is at least one or more sols selected from the group consisting of alumina sol, silica sol, titania sol and zirconia sol, the composition further comprises anti-foam agent and surface tension adjusting agent, and solid content of the composition is in the range of 5 to 20 wt.%. The method for manufacturing the composition for treating the surface of a metal comprises the steps of preparing an aqueous organic resin; preparing an organic-inorganic composite resin by coupling bonding the aqueous organic resin and inorganic metal sol in a solid content ratio of 80:20 to 30:70 under the existence of a coupling agent ranging from 0.005 to 5 wt.% based on the total amount of reactants; and mixing 95 to 60 wt.% of the obtained organic-inorganic composite resin, 1 to 10 wt.% of metal corrosion resistant rust inhibitor, and 0.5 to 10 wt.% of an organic metal based compound."
46368943,0,8.9e-05,0,0,NOT_NOML,"Glass door plate with frame hiding structure, and integrated cabinet formed by glass door plate","The utility model discloses a glass door plate with a frame hiding structure, and an integrated cabinet formed by the glass door plate. The glass door plate mainly comprises a frame (3) made of an aluminum material (1) and a glass panel (2) embedded on the frame (3), wherein the glass panel (2) is connected with the frame (3) to form an integrated structure. The integrated cabinet formed by the glass door plate with the frame hiding structure comprises a tabletop (8) formed by the glass panel (2) embedded on the frame (3), a cabinet body (9) and cabinet doors (10), wherein the tabletop (8) is connected to the upper surface of the cabinet body (9); the cabinet doors (10) are connected to the front end of the side wall of the cabinet body (9), and can rotate around connection shafts; and a cavity capable of accommodating objects is formed inside the cabinet door (9). The glass door plate and the integrated cabinet have simple structures, are waterproof, fireproof, firm, durable and environment-friendly, and are favorable for health."
42349494,0,8.7e-05,0,0,NOT_NOML,"EXPANSION VALVE MECHANISM, AND AIR CONDITIONER INSTALLED WITH THE SAME","<P>PROBLEM TO BE SOLVED: To provide an inexpensively manufacturable expansion valve mechanism and a refrigeration cycle device equipped with it without complicating a configuration. <P>SOLUTION: In the expansion valve mechanism 100, a valve element passage 102 passing fluid flowing in from a first fluid inlet 111 or a second fluid inlet 116, and a recessed part 121 provided on a trailing edge of the valve element passage 102 and controlling communication of the valve element passage 102 with a branch passage following movement of a movable valve element 101 are formed in the movable valve element 101. <P>COPYRIGHT: (C)2010,JPO&INPIT"
14791938,0,8.6e-05,0,0,NOT_NOML,COLD-CURABLE ORGANOPOLYSILOXANE COMPOSITION HAVING PROLONGED SHELF LIFE,"PURPOSE:To provide the composition which is useful as a sealing agent for buildings with high workability by using diorganopolysiloxane having hydroxyls on both molecular chain terminals, aminoxy group-bearing nitrogen-containing organosilicon compound, calcium carbonate and organopoly-siloxane. CONSTITUTION:The objective cold-curable organopolysiloxane composition having prolonged shelf life is obtained by using (A) 100 pts.wt. of diorganopolysiloxane bearing hydroxyls on both molecular chain terminals, (B) 0.1 to 30 pts.wt. of nitrogen-containing organosilicon compound which has 2.0 or more substituted aminoxy groups bonding to silicon atoms on the average where the substituted aminoxy groups are at least one selected from the groups of formula I (R<1>, R<2> are monovalent hydrocarbon) and formula II (R<3> is divalent organic group), (C) 1 to 200 pts.wt. of calcium carbonate and (D) 1 to 50 pts.wt. of at least one selected from cyclic organopolysiloxanes of formula III (n is integer of 3 to 10) and straight-chain organopolysiloxanes of formula IV (n is integer of 0 to 8)."
