docdb_family_id,stratum,gold_neuro,cheap_neuro
87666857,5,0,0
56683297,5,0,0
48964730,5,0,0
65449346,5,0,0
77483623,4,0,0
69432938,2,0,0
41704898,6,0,0
40877062,7,2,2
27489025,8,0,0
91724590,5,0,2
39671110,4,0,1
85577274,7,0,0
44746371,6,0,0
74680276,5,0,0
66431536,8,0,0
57737613,4,0,0
95045047,3,0,0
61998007,4,0,0
85723648,3,0,0
89552698,7,2,2
17591623,6,0,0
73389818,3,0,0
10797971,2,0,0
37149375,4,0,2
72322967,7,0,0
88659996,5,0,0
49261961,3,0,0
24256778,5,0,0
86514341,6,0,0
49302802,6,0,2
95105802,6,2,2
40866575,7,2,2
80812169,7,0,0
89392194,1,0,0
51165744,7,2,2
43333149,5,0,0
61294580,6,0,0
50929218,1,0,0
86355451,4,0,2
33948433,1,0,0
23339883,1,0,1
85978669,5,0,2
34640779,5,0,2
46502788,8,2,2
43501781,5,0,0
70286778,4,0,0
46074368,6,0,0
81571481,0,0,0
61301496,4,0,0
94373492,5,0,2
91765832,7,2,2
24824230,7,0,0
81393947,8,2,2
49947924,7,0,0
12923651,5,0,0
50642406,7,2,2
83955247,4,0,0
6375799,1,0,1
87472520,7,0,0
20216121,4,0,2
56680671,8,0,0
38669120,8,0,0
56369162,7,0,0
14954556,3,0,0
57269424,5,0,2
76531846,6,2,2
91584705,8,2,2
90322616,6,0,0
7710594,5,0,0
77087722,8,2,2
88462672,6,0,2
73467424,6,0,0
77179963,8,2,2
63506169,5,0,0
52025610,5,0,0
43372296,4,0,2
67689580,7,0,0
86248800,7,2,2
71603027,5,0,0
83509494,5,0,0
86796973,6,0,0
47834608,2,0,0
80304230,6,2,2
49957098,7,0,0
45605368,4,0,0
85175987,4,0,0
49995562,8,0,0
76273518,6,0,0
18954785,8,2,2
72039831,8,0,0
17629977,5,0,0
7709864,7,2,2
62195302,7,0,0
86159167,8,0,0
53770857,3,0,0
70707549,6,2,2
64963635,5,0,0
20394971,1,0,1
