docdb_family_id,stratum,score,neuro,ml,verdict
205313,6,0.666504,0,0,NOT_NOML
1593864,0,7.8e-05,0,0,NOT_NOML
1627603,1,0.000792,0,0,NOT_NOML
1628069,1,0.000196,0,0,NOT_NOML
1629084,1,0.000138,0,0,NOT_NOML
1629778,1,0.000416,0,0,NOT_NOML
1629983,1,0.000386,0,0,NOT_NOML
1700231,2,0.001024,0,0,NOT_NOML
1700357,1,0.000451,0,0,NOT_NOML
1700433,1,0.00075,0,0,NOT_NOML
1701595,2,0.001405,0,0,NOT_NOML
1709464,2,0.001875,0,0,NOT_NOML
1709564,1,0.000951,0,0,NOT_NOML
1724819,2,0.001078,0,0,NOT_NOML
1725935,1,0.000573,0,0,NOT_NOML
1726918,1,0.000605,0,0,NOT_NOML
1728029,1,0.000782,0,0,NOT_NOML
1728202,1,0.000371,0,0,NOT_NOML
1728205,4,0.013954,0,0,NOT_NOML
1728597,3,0.003901,0,0,NOT_NOML
1728633,0,3.4e-05,0,0,NOT_NOML
1728767,1,0.000157,0,0,NOT_NOML
1728864,1,0.000989,0,0,NOT_NOML
1730860,1,0.000863,0,0,NOT_NOML
1731737,0,6.8e-05,0,0,NOT_NOML
1731775,0,5.6e-05,0,0,NOT_NOML
1732298,3,0.003111,0,0,NOT_NOML
1732872,2,0.001611,0,0,NOT_NOML
1733901,2,0.0028,0,0,NOT_NOML
1734436,1,0.000129,0,0,NOT_NOML
1734923,3,0.00547,0,0,NOT_NOML
1736591,0,7.3e-05,0,0,NOT_NOML
1736751,1,0.000361,0,0,NOT_NOML
1736873,1,0.000588,0,0,NOT_NOML
1736878,2,0.001053,0,0,NOT_NOML
1736988,3,0.005119,0,0,NOT_NOML
1737127,0,5.6e-05,0,0,NOT_NOML
1737612,4,0.031204,0,0,NOT_NOML
1738320,1,0.000505,0,0,NOT_NOML
1739930,0,3e-05,0,0,NOT_NOML
1740183,1,0.000218,0,0,NOT_NOML
1741719,3,0.008217,0,0,NOT_NOML
1742962,1,0.000149,0,0,NOT_NOML
1743452,1,0.000347,0,0,NOT_NOML
1743922,4,0.06781,0,0,NOT_NOML
1744377,1,0.000177,0,0,NOT_NOML
1744997,1,0.000341,0,0,NOT_NOML
1745732,2,0.001949,0,0,NOT_NOML
1746251,2,0.001655,0,0,NOT_NOML
