docdb_family_id,earliest_year,office,bloc,family_size,similarity,ai_score,found_by_query,band,era,g06n,cluster,neuro,ml
33545246,2004,US,US,1,0.8457,0.6953,application:epilepsy,A,pre2010,0,33545246,2,0
10664046,1989,GB,EP,3,0.8457,0.6914,application:prosthesis control,A,pre2010,0,10664046,0,0
27541333,2000,US,US,3,0.8359,0.7031,cross:deep brain stimulation|epilepsy,A,pre2010,0,27541333,2,0
43899076,2010,US,US,2,0.832,0.7109,stimulate:cochlear implant,A,2010s,0,43899076,2,0
70165195,2019,WO,WO,2,0.8301,0.6973,stimulate:focused ultrasound,A,2010s,0,70165195,2,0
32478027,2002,DE,EP,1,0.8301,0.7168,cross:MEG|prosthesis control,A,pre2010,0,32478027,2,0
94824310,2025,US,US,2,0.8301,0.6992,cross:vagus nerve|epilepsy,A,2020+,0,94824310,2,0
25052390,1985,US,US,1,0.8301,0.0,stimulate:retinal prosthesis,A,pre2010,0,25052390,2,0
93653736,2024,US,US,8,0.8281,0.6816,application:epilepsy,A,2020+,0,93653736,2,0
25405615,2001,US,US,7,0.8281,0.7109,cross:deep brain stimulation|epilepsy,A,pre2010,0,25405615,2,0
31500070,2003,AU,OTHER,5,0.8281,0.6992,cross:cochlear implant|hearing restoration,A,pre2010,0,31500070,2,0
24986471,1996,US,US,1,0.8281,0.7031,cross:deep brain stimulation|epilepsy,A,pre2010,0,24986471,2,0
46753716,2012,US,US,1,0.8281,0.0,cross:focused ultrasound|chronic pain,A,2010s,0,46753716,,
8101566,2000,AU,OTHER,3,0.8281,0.0,application:prosthesis control,A,pre2010,0,8101566,0,0
61073284,2017,JP,JP,4,0.8262,0.7012,cross:in-ear EEG|sleep staging,A,2010s,0,61073284,2,1
81756068,2020,KR,KR,2,0.8262,0.7031,cross:transcranial current|epilepsy,A,2020+,0,81756068,2,0
86907066,2023,CN,CN,1,0.8262,0.7031,stimulate:cochlear implant,A,2020+,0,86907066,2,0
55858342,2015,WO,WO,3,0.8262,0.7109,cross:peripheral nerve stimulation|prosthesis control,A,2010s,0,55858342,2,1
35124860,2005,WO,WO,4,0.8262,0.7188,cross:scalp EEG electrodes|hearing restoration,A,pre2010,0,35124860,2,0
40913282,2009,US,US,6,0.8262,0.7188,cross:peripheral nerve stimulation|prosthesis control,A,pre2010,0,40913282,2,0
47259912,2012,US,US,2,0.8262,0.707,application:epilepsy,A,2010s,0,47259912,2,0
